OTU	Status2	Status3									
c98c43078f145e5039ceb776c6fe1e65	soil_derived	NA									
897abc13e66d89c039aeb4ddde4e388a	soil_derived	NA									
12a68839c154efc3f2131ba96a10957e	soil_derived	NA									
a3cae86ea803b63fb81dc44ff43c586a	soil_derived	NA									
6cea6a2df647572a4ca141f698b43e1c	soil_derived	NA									
181be228b1bf2945e6b8109ae86823e2	soil_derived	NA									
b18b93bfddd96f751447bd8b1590b015	soil_derived	NA									
c7491501ee7e511e8203b9db21497170	soil_derived	NA									
d3a6b1ae351c02b3dceb0ba0b84ed74f	soil_derived	NA									
f090459f3b094b0970cc9ed469f76610	soil_derived	NA									
d00772765ab62c9e8a4199ea038302b3	soil_derived	NA									
31b4741dde78a0644a6806b2668fec1a	soil_derived	NA									
89ffaa01cbd4fb99b851747266f75238	soil_derived	NA									
19d9ea88952cad5e7be9217db7998690	soil_derived	NA									
aa8d9735d3b3df85d38c73c920ed9226	soil_derived	NA									
f108d5f401ce83b1f061ef37a907cace	soil_derived	NA									
a8e31220bf6b3a4d0a0f99d53caefded	soil_derived	NA									
859944ab62761852e05ea492de43fa8a	soil_derived	NA									
8e1c3f4e9f1a90c249abf297b457ae8b	soil_derived	NA									
62fc2578fdff23f03eb9e079566a03ac	soil_derived	NA									
898d857028dd903a6ef9b0d2f68d85ab	soil_derived	NA									
61d7263fc9230de9d595fe2848a98e44	soil_derived	NA									
4287b8b64fa245521feeda40107dd9c5	soil_derived	NA									
71a39cb8b41c5f1a4aa99dd54e87ddae	soil_derived	NA									
ce6cf6f2b236b2f601881ab75a3fd997	soil_derived	NA									
4581121bdf69eac1eba2b4d67ad12be6	soil_derived	NA									
5759808d7abb9f43bae6fbeb0e79d307	soil_derived	NA									
160e4a27157b7b877ccb0c0993ce0455	soil_derived	NA									
b5a00bb380821a30378ebd32ea2eca63	soil_derived	NA									
b3cb8783235bde9a24fceba1733dd955	soil_derived	NA									
0ddcdfaae94c6f484f16f89afc6d73bc	soil_derived	NA									
2e4978483f573b6bae95c9c6e8836d7c	soil_derived	NA									
44f72596af1e6ab2c2e2c0ccc47d5f3a	soil_derived	NA									
cdc3ad4c9e40e7bb380989da1053f2cd	soil_derived	NA									
e97c1ae9c20ac681b182b6c85a2b8153	soil_derived	NA									
bbe757662827d92be2aef13046cef194	soil_derived	NA									
5c742f6b7ce86aea20245dce9224d74e	soil_derived	NA									
5d2097ba2c319879affbe8d7f6ef52f1	soil_derived	NA									
