OTU	Status4	Status5
987b07b51f215294b9ba396fc0da2eab	Rhizosphere	No
f657931ce0e5c0ce1950eaa9eeb5e239	Rhizosphere	No
9774db9b0c60411358cc3ef67136be2d	Bulk	No
3d885b7f5495e3824cb81f00187f8007	Rhizosphere	No
bc4376709efb33ec2c5163551f812436	Bulk	No
58c28f7ddee37e029efca142c9de24aa	Rhizosphere	No
b25b97ff87322d73b6f814ae06aeac7b	Root_endosphere	No
8aecafac978a66658cd7fa4344d4b9cd	Root_endosphere	No
085ab515dfe283a3f1bf2806909f419c	Bulk	No
e4cc6b2b4f1cdf72f3be6b09567e138c	Rhizosphere	No
e79d8d3ee1e37ca789b1c33d4eb27ec5	Rhizosphere	No
23e7bd56dc5d3b254685f736c59a5411	Rhizosphere	No
5bba5f2e9394f62e8042e815854906b1	Root_endosphere	No
48c55b5a8e009915f51f65c3529b85fc	Rhizosphere	No
080286b1b8252b3b3dbe6b17cebe564d	Bulk	No
2b9a517c76ada71d629d12f970825693	Rhizosphere	No
18b37895c84d33b95769a033042a4668	Bulk	No
d1d19c7ad77dd17a5c61021e93346cfc	Bulk	No
88331c88636cef7fab9fe269fa318f7a	Rhizosphere	No
ecc7f11cbc730895eda99c1407785ba0	Bulk	No
74ed00b3aee1d4447a5d508128d5e818	Rhizosphere	No
47784ce51de183951bb9a6e93e2f64a6	Rhizosphere	No
4382148e6cd6c841443302b8dacd83e0	Bulk	No
65490280d59d5597825a56d7c959fa39	Bulk	No
a67044d25a023ba4bb7733a02dbf01d6	Bulk	No
459a6ff433bfcf7d476a52c74b095090	Rhizosphere	No
a843da1d2130facb62efb825b61ddc80	Rhizosphere	No
33c8178d44f33cea748490bb29592af8	Root_endosphere	No
2ef3d97f85ae211f0eea5ad39e29c29c	Bulk	No
746544a8d91ad23521089c0775829a72	Bulk	No
507d92936fa6b9858ce754e898539d5c	Rhizosphere	No
9b9756eb5813229be9d033c7a00422e4	Bulk	No
4d62921fffea817eef921bd83f12d9f5	Rhizosphere	No
25b0e19afb4e79f0fa48cf30bb26fa87	Bulk	No
5cebfbcdbbca9ad599a9abd82536d66b	Root_endosphere	No
0ffd118b32566fb84c0962fa51bda39d	Rhizosphere	No
7c3eedb432edf2703f033ee7a074d031	Bulk	No
7152a1f473e321f316ffd16a823018cc	Bulk	No
9d3f1e512ed1e46c232c1460afe2e80c	Bulk	No
